a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
1.598086,0.014577,0.017888,3.304842,4,0.015638,0.00873721,0.02460020,5.62063551,-0.00259004,-0.00003101
0.347972,0.090087,0.039902,1.917969,1,0.034256,0.03165701,0.31764546,0.01664674,0.16068982,0.27606627
0.454897,0.145920,0.005771,1.874187,3,0.004691,0.09015244,0.60559249,-0.05253347,0.20177561,-0.03329736
1.854619,0.211530,0.013195,3.319704,3,0.013511,0.02223007,0.10605846,-0.00040642,-0.01143405,0.00587642
0.265530,0.186749,0.013036,3.802798,2,0.011566,0.14020252,0.73433131,-0.13441867,-0.10642241,-0.10360679
0.195482,0.084124,0.011510,2.087401,2,0.013230,0.06301577,0.76276523,-0.06026899,0.38453111,0.76617324
1.166188,0.100406,0.004276,3.189196,4,0.003774,0.02292782,0.21791947,0.00126009,-0.00899133,0.00176480
0.978789,0.222885,0.033668,1.037166,1,0.038891,0.03428669,0.16314249,0.00003575,0.08091068,0.07272142
1.294276,0.279350,0.027287,1.876210,3,0.022190,0.05653389,0.17282373,0.00659534,-0.00752035,-0.00705574
0.871209,0.086085,0.030884,6.525508,2,0.026075,0.02422635,0.22701010,0.07043534,-0.02628712,0.02848768
1.715458,0.291640,0.017298,2.464340,4,0.017523,0.03467062,0.11940422,-0.00084972,-0.01602697,0.00723866
1.725336,0.278899,0.041454,2.411559,3,0.040300,0.03352080,0.10995354,0.00118272,-0.01504618,0.00655175
0.328594,0.226001,0.006242,2.523617,3,0.005361,0.18640925,0.80300939,-0.20311278,0.01205985,-0.31601790
1.294228,0.280654,0.003013,5.053635,3,0.002725,0.05224005,0.18403468,-0.00281377,-0.03979385,0.03031081
0.414284,0.072822,0.024456,7.077096,1,0.023787,0.02229169,0.30033809,-0.00349855,-0.03291100,0.04295395
1.719394,0.218335,0.019168,4.132532,4,0.021143,0.02204678,0.11447024,0.00485790,-0.01261542,0.00721805
1.427678,0.195186,0.033541,4.365281,2,0.040225,0.02145137,0.13230833,0.01474132,-0.01451969,0.00982420
1.804805,0.207546,0.034871,4.277407,1,0.042573,0.01460929,0.08294498,0.00693411,-0.00801351,0.00439543
0.321417,0.038055,0.046534,2.832242,1,0.052226,0.01114346,0.33822718,0.11948030,0.11374817,0.59605396
0.810490,0.133877,0.047874,2.417202,1,0.055265,0.02271410,0.18825671,0.00825124,0.01489303,-0.01462464
0.579246,0.025883,0.027615,2.198494,3,0.026048,0.01482725,0.45943215,0.51330733,0.18686625,1.17893112
0.783760,0.282158,0.048279,3.777095,2,0.050161,0.07351597,0.26082405,-0.01182224,-0.06954961,0.06357845
1.943725,0.114433,0.011140,2.457442,4,0.011970,0.01014561,0.10054575,0.00898212,-0.00326450,0.00092454
1.349420,0.149460,0.038822,3.554053,4,0.032253,0.03621932,0.13943157,0.15591055,-0.02332359,0.01487160
0.720972,0.013612,0.023579,4.460337,4,0.025425,0.00301573,0.35479972,4.20889950,0.01189451,0.02276327
0.305583,0.044022,0.036183,5.441982,2,0.043653,0.02178321,0.59857959,0.30940628,0.03963136,-0.08097363
1.957554,0.039059,0.044914,1.869229,1,0.043332,0.00441891,0.07759322,0.16277821,0.00410462,-0.00008882
0.989727,0.037422,0.036239,4.024726,4,0.030744,0.02167288,0.16053513,3.28940678,-0.00916109,-0.00042025
0.765688,0.129994,0.028656,1.003079,3,0.025558,0.04638862,0.31737250,0.01309320,0.23311143,0.53276563
0.396173,0.104958,0.011554,3.443516,4,0.009743,0.08993639,0.81752110,-0.09276773,0.05747958,-0.21771802
0.631863,0.218533,0.010692,3.222668,2,0.012558,0.08212401,0.38231981,-0.02040536,-0.04870149,0.00733693
1.915777,0.110950,0.002878,3.034432,1,0.002488,0.01016514,0.08986396,0.00006180,-0.00463008,0.00209288
0.500743,0.230084,0.013596,3.604781,2,0.011003,0.11007569,0.46428835,-0.04068502,-0.09551717,0.05020039
0.125843,0.237503,0.021923,4.626956,4,0.016488,0.40861347,1.51019812,-2.41653156,-1.01359427,2.08609700
1.583807,0.028160,0.037998,5.755068,1,0.036647,0.00341331,0.08714499,0.19651297,-0.00212857,0.00132726
0.245936,0.288175,0.005166,4.828697,4,0.001154,0.37263292,1.18949199,-1.02389705,-0.81858009,1.67694795
0.504163,0.274725,0.040375,4.058867,4,0.034532,0.15978958,0.53306168,-0.09874327,-0.19948532,0.22899163
0.885725,0.292934,0.042803,6.434278,2,0.040013,0.06383179,0.20791771,-0.00665591,-0.07072450,0.07835317
1.399284,0.276601,0.004515,4.481342,1,0.005646,0.03435941,0.12572351,-0.00085341,-0.02403109,0.01680485
1.123088,0.090703,0.003014,2.098495,4,0.003279,0.02048597,0.23147871,-0.00078600,0.02337230,-0.00241258
1.353015,0.111915,0.034301,3.504118,4,0.036781,0.01458064,0.15482232,0.02672038,-0.00822981,0.00450229
0.479963,0.253237,0.027932,1.628511,1,0.026107,0.07018283,0.27249712,-0.00882591,0.08246326,-0.06109431
0.285755,0.155965,0.015210,1.869614,3,0.013198,0.13064390,0.81296629,-0.14615822,0.30670935,-0.18556792
0.552459,0.258749,0.006636,6.811597,2,0.006263,0.11267111,0.43321860,-0.03711050,-0.18741265,0.31116521
0.647884,0.157049,0.044641,6.604211,1,0.039368,0.03212770,0.19004214,0.00088173,-0.04512302,0.06319319
0.194730,0.143424,0.026318,2.432144,1,0.022777,0.06254464,0.42276379,-0.01813357,0.13010320,-0.15377411
0.795918,0.127326,0.049092,2.632517,4,0.041640,0.05507236,0.30543745,0.15869838,0.01039698,-0.04141567
0.537515,0.156710,0.029155,4.197469,1,0.032499,0.03972954,0.26111761,-0.00462859,-0.03267239,0.01578152
1.460337,0.211526,0.030707,1.023979,3,0.032176,0.02995612,0.14738622,-0.00041509,0.05265940,0.03294365
0.942346,0.095015,0.005015,3.490467,4,0.005781,0.02657787,0.29472974,0.00158126,-0.00935641,-0.00117070
1.048562,0.205018,0.017788,3.813666,1,0.018417,0.03246224,0.15899628,-0.00147942,-0.02529426,0.01939787
0.401460,0.232785,0.047637,5.788969,1,0.045670,0.06502735,0.27407596,-0.01317388,-0.11800182,0.20884760
0.501648,0.275179,0.043424,3.608032,2,0.041369,0.11617640,0.40890738,-0.04281472,-0.11792070,0.09582064
1.115528,0.053685,0.001858,5.908124,3,0.001510,0.01278308,0.22800492,0.00398210,-0.01084849,0.00919614
1.459675,0.133240,0.016457,4.794722,3,0.019547,0.01575133,0.14375170,0.02705047,-0.01053756,0.00704825
1.392158,0.084874,0.030917,2.918880,1,0.025290,0.01288364,0.11444488,0.06323890,-0.00421857,0.00059948
1.182825,0.135509,0.039255,4.437545,2,0.039411,0.02275658,0.16456059,-0.00106767,-0.01749475,0.01340365
1.775038,0.237452,0.019584,4.992085,1,0.022315,0.02022758,0.08965907,0.00031743,-0.01136560,0.00638611
0.232983,0.040388,0.048265,2.718777,1,0.058304,0.01224464,0.38044542,0.32505909,0.14912824,0.98886335
0.308611,0.288736,0.019187,4.034831,4,0.016034,0.28848541,0.92987329,-0.52400225,-0.45810810,0.62222618
0.790315,0.137249,0.020027,4.230431,1,0.021508,0.02701045,0.20094000,-0.00165643,-0.02225296,0.01670972
1.974102,0.019105,0.005666,4.318520,2,0.006057,0.00151212,0.09603120,0.12622495,-0.00072390,0.00034617
0.540716,0.136059,0.023171,2.092540,2,0.019099,0.06090900,0.41511837,-0.00714592,0.10555101,-0.04830015
0.907826,0.083104,0.007250,2.697882,3,0.006897,0.02516590,0.29619634,-0.00248467,0.01754743,-0.01598251
0.738327,0.140318,0.017378,5.373113,3,0.014639,0.05371111,0.35420614,-0.00312739,-0.06123301,0.06900063
1.690776,0.079004,0.027055,2.482716,1,0.032823,0.00552203,0.09474733,0.07686163,-0.00052530,-0.00036518
1.787169,0.067474,0.002207,4.861119,4,0.002242,0.00773842,0.11663207,0.00014176,-0.00428352,0.00237098
1.337556,0.067198,0.001608,5.042318,3,0.001401,0.01221700,0.17741978,0.00038892,-0.00869335,0.00618034
0.340474,0.077754,0.022882,4.740337,2,0.025750,0.04516302,0.60842174,-0.02346372,0.01156451,-0.11817938
1.291670,0.288212,0.012540,4.998910,2,0.010664,0.04961386,0.16547392,-0.00183373,-0.03784095,0.02885948
0.203336,0.156083,0.018056,3.917157,4,0.018711,0.21316467,1.33019948,-0.75977802,-0.14541024,-0.40812480
1.200782,0.189009,0.038146,4.602854,2,0.042326,0.02793511,0.16135707,0.00255043,-0.02203345,0.01736134
0.445236,0.083028,0.046110,2.778138,3,0.051401,0.04227474,0.56627762,0.01921944,0.11282519,0.00694313
0.838330,0.149836,0.048173,4.681517,3,0.050986,0.03747234,0.26163620,-0.00449996,-0.03605605,0.03406351
1.280500,0.115414,0.027727,2.624677,3,0.024899,0.02468063,0.17184432,0.04151465,-0.00515201,-0.00201450
1.937259,0.120004,0.036068,5.827253,3,0.035972,0.01097733,0.08342177,0.00348953,-0.00566364,0.00292212
1.762449,0.167995,0.004049,1.595188,4,0.004360,0.01953212,0.11930700,-0.00014631,0.00588707,-0.00330844
0.777228,0.105845,0.045812,4.672227,1,0.042628,0.02057866,0.17784572,0.00677495,-0.01817040,0.01492585
0.111616,0.274828,0.037865,6.238561,1,0.038498,0.14948708,0.53356737,-0.11050626,-0.52010310,1.72740602
1.154338,0.117208,0.042755,2.132586,3,0.038109,0.03065699,0.18934645,0.09664962,0.01266381,-0.01460984
0.693356,0.066114,0.028264,4.559944,1,0.028801,0.01404998,0.21408345,-0.00120876,-0.00628654,-0.00176765
0.998540,0.121226,0.004267,1.116209,1,0.003865,0.02057155,0.16768937,-0.00078879,0.08796830,0.18432039
0.475915,0.118181,0.027752,4.900482,2,0.023212,0.05739273,0.44904256,-0.00914218,-0.05605311,0.03393728
0.826807,0.200296,0.049205,4.125066,3,0.055077,0.04974883,0.27199498,-0.00225573,-0.04537747,0.04008521
1.284701,0.062179,0.005989,2.121157,4,0.005577,0.01257459,0.18880118,0.00825971,0.01656838,0.00160186
1.340242,0.181849,0.026570,3.482167,4,0.021972,0.03886321,0.15724283,0.04611681,-0.02515942,0.01614089
1.488942,0.037103,0.021282,3.514412,4,0.020913,0.00640013,0.14062785,0.09509619,-0.00243527,0.00071269
0.124989,0.249671,0.040375,5.694147,3,0.044133,0.31567237,1.14136374,-1.34896195,-1.00810528,3.00673008
1.296396,0.103194,0.006382,4.193651,1,0.006939,0.01366006,0.13511428,-0.00006620,-0.00933572,0.00634411
0.756602,0.033131,0.045824,4.332627,2,0.041170,0.01390207,0.24789432,1.14887547,0.00237378,-0.01318360
1.573876,0.070377,0.039595,3.921535,1,0.038952,0.00741837,0.09626538,0.00685416,-0.00423403,0.00240516
0.723087,0.053031,0.025581,5.730365,3,0.022092,0.02332769,0.33653748,0.26464683,-0.02240706,0.01991184
0.427550,0.288175,0.047879,4.110041,2,0.056272,0.12613913,0.45109341,-0.06428888,-0.16766946,0.20011804
0.916249,0.052927,0.011628,5.568824,2,0.012475,0.01262020,0.25196737,0.00786776,-0.01121429,0.00978824
0.621163,0.041045,0.037892,4.326667,2,0.035664,0.01647322,0.33745068,0.14632773,0.01058836,-0.02406912
0.829877,0.105749,0.026310,4.766315,2,0.031327,0.02421823,0.26262006,0.02704834,-0.02139776,0.01812771
1.201982,0.287141,0.005031,3.790107,4,0.004110,0.06140395,0.20686886,-0.00375735,-0.04649268,0.03509060
0.502601,0.262277,0.049391,5.229407,3,0.050491,0.11924623,0.44902295,-0.06917882,-0.18501538,0.28189787
0.221863,0.089891,0.033043,6.704512,1,0.032202,0.03799827,0.41736746,-0.01573941,-0.05486395,0.01538298
1.912914,0.035876,0.026600,2.113210,4,0.022387,0.01622585,0.01948462,1.76809645,-0.00016934,-0.00353996
0.129243,0.202110,0.020946,5.171228,3,0.019833,0.29267862,1.33610272,-1.18756163,-0.72508782,1.43837535
0.985040,0.130128,0.049532,4.471143,1,0.054465,0.01738089,0.14408913,0.00320685,-0.01454253,0.01199198
1.195224,0.215254,0.028337,4.505500,4,0.027668,0.04173341,0.18501651,-0.00171347,-0.03314038,0.02629112
0.232848,0.282749,0.034284,2.550834,1,0.034708,0.11179107,0.39209852,-0.03292630,-0.01775898,-0.15920269
0.364598,0.060957,0.029588,7.179405,1,0.034494,0.01756634,0.31448510,0.02125748,-0.02189434,0.01652554
1.503380,0.270467,0.026684,4.010578,1,0.025520,0.02946766,0.10638697,-0.00050541,-0.01900681,0.01225556
0.442914,0.269809,0.038860,4.107848,1,0.035616,0.07870471,0.28487891,-0.01353849,-0.09778107,0.10684514
1.731923,0.015919,0.048839,3.337675,4,0.057113,0.00000000,0.00000028,0.00044727,0.00000000,-0.00000000
1.659110,0.199758,0.039866,3.647359,1,0.032786,0.02177611,0.09077428,0.00888065,-0.01255776,0.00723634
1.988687,0.160062,0.010332,1.716701,4,0.008632,0.01934122,0.09667858,0.01775173,-0.00037991,-0.00174879
0.934466,0.276161,0.048598,1.317436,3,0.047679,0.07308611,0.25462717,-0.00784902,0.07093309,-0.02536532
0.711391,0.080751,0.015571,2.659593,4,0.017166,0.03083328,0.41425091,0.01251168,0.04987768,-0.01041872
0.789646,0.089403,0.038326,5.834269,1,0.036732,0.01655213,0.17438968,0.00316222,-0.01796032,0.01930496
0.464718,0.158246,0.001025,1.066264,2,0.001057,0.06750004,0.42509094,-0.01929359,0.31278881,0.60700464
1.999795,0.011476,0.044912,3.330231,4,0.038135,0.02394611,0.00000000,0.00000000,-0.01142821,0.00544198
0.600790,0.016308,0.049664,6.910699,2,0.041890,0.01285196,0.17888093,10.76998806,-0.01056621,0.00320023
1.309228,0.099001,0.015729,3.809384,1,0.017169,0.01218540,0.12924032,0.00163502,-0.00753290,0.00456917
1.382775,0.231651,0.049475,1.414356,4,0.054262,0.03072854,0.15566057,0.00992136,0.02130515,-0.00441555
1.587841,0.095708,0.010364,2.403483,3,0.009180,0.01483702,0.13482021,0.01641962,-0.00199077,-0.00110658
0.408360,0.091371,0.011154,2.883742,4,0.012544,0.06986913,0.78862530,-0.07096171,0.14483872,-0.11121848
0.354214,0.223008,0.040765,6.816833,2,0.045819,0.10792555,0.49320096,-0.07740219,-0.23768276,0.51638269
0.448751,0.185713,0.006074,4.777961,1,0.006061,0.06066264,0.32600313,-0.01079821,-0.07639740,0.08368937
0.479299,0.072307,0.014191,3.607013,4,0.013583,0.04960310,0.66623557,-0.03388176,0.05750399,-0.10084812
1.750771,0.136100,0.033749,1.873661,4,0.040513,0.00716965,0.09833611,0.21456289,0.00188119,-0.00077393
0.597923,0.120406,0.012252,3.635009,2,0.013295,0.04752084,0.40174291,-0.01278198,-0.01115385,-0.02683861
0.592259,0.176160,0.022319,5.199376,2,0.021849,0.06723630,0.37627867,-0.01894690,-0.08620099,0.10742603
1.747828,0.266200,0.001512,3.573142,1,0.001397,0.02668718,0.10026576,-0.00042610,-0.01479556,0.00819993
1.003889,0.174495,0.038486,6.293025,1,0.037876,0.02471784,0.13873483,-0.00099283,-0.02414100,0.02357465
0.323703,0.191242,0.042728,4.424485,3,0.036151,0.14779480,0.71468449,-0.17353706,-0.19187634,0.16131854
1.496732,0.284619,0.023085,2.665028,4,0.026991,0.03485014,0.14270248,0.00640774,-0.01785933,0.00889040
1.364101,0.205849,0.023680,3.983852,4,0.020749,0.03834771,0.15637699,0.01245744,-0.02646852,0.01824351
1.059379,0.187840,0.003264,3.920375,3,0.003023,0.04601665,0.24385357,-0.00440812,-0.03606242,0.02787246
0.224550,0.027344,0.049070,6.633223,1,0.054977,0.00868343,0.37123597,0.21606353,0.03456043,-0.02812564
0.569942,0.277520,0.018745,5.251398,2,0.015150,0.11335059,0.39447755,-0.03339933,-0.16500553,0.23781756
0.421000,0.138670,0.049706,3.859081,1,0.049133,0.04029378,0.28500989,-0.00708687,-0.01335471,-0.03600585
1.068164,0.031389,0.005194,1.696585,4,0.005866,0.00644986,0.24357031,0.14908953,0.06079024,0.34501407
0.356816,0.206934,0.022795,1.972363,3,0.018691,0.15123661,0.69254464,-0.12472607,0.15438205,-0.29934451
1.230801,0.085407,0.005345,1.452970,3,0.006186,0.01559714,0.19641608,0.00691616,0.05098078,0.07862755
0.695335,0.108000,0.040979,3.184335,3,0.042160,0.03859014,0.36143166,-0.01054824,0.00628511,-0.03076942
1.472749,0.185686,0.048440,2.352903,2,0.047164,0.02645195,0.13093141,0.00224582,-0.00836254,0.00140819
0.340810,0.223163,0.023067,3.829836,4,0.024753,0.19730739,0.86949342,-0.31233269,-0.21751411,0.11963232
0.183384,0.254361,0.015876,1.095968,4,0.015905,0.25786537,0.97449613,-0.44831365,0.56316423,-0.40741399
1.083345,0.189554,0.038146,1.976619,3,0.044345,0.03482567,0.21636346,0.01695274,0.01246165,-0.01299658
1.049328,0.157511,0.010144,2.288882,1,0.010688,0.02586865,0.16569720,-0.00112521,0.00406517,-0.00970927
1.696046,0.272921,0.012235,4.115588,3,0.012095,0.03311137,0.12010450,-0.00080213,-0.01925390,0.01119518
0.451092,0.227459,0.010301,6.773156,2,0.011177,0.11507105,0.50782490,-0.05516454,-0.21799602,0.41044253
0.593327,0.011763,0.037255,2.979039,4,0.041971,0.00136342,0.31337464,22.63623619,0.03836047,0.82922602
0.216451,0.013570,0.019769,3.474139,4,0.020593,0.01652887,1.30044281,0.21102259,0.49935320,8.64526272
1.369297,0.044273,0.005264,4.036134,1,0.004806,0.00592497,0.12836106,0.00301889,-0.00322819,0.00168486
1.008461,0.089390,0.009711,1.409711,3,0.010984,0.02091589,0.25218126,0.00802141,0.08835433,0.18344641
0.408186,0.087351,0.027987,4.607480,4,0.028514,0.06374435,0.73034275,-0.07352322,-0.01392335,-0.08950875
0.573669,0.056840,0.026432,5.348484,2,0.021571,0.02612490,0.37346762,0.16339302,-0.01746214,0.00078355
1.530884,0.237951,0.002279,5.237873,1,0.002204,0.02737025,0.11522733,-0.00058520,-0.01779201,0.01156554
1.457573,0.089304,0.038378,1.512489,4,0.034337,0.02277118,0.12971266,0.35455328,0.03325794,-0.00046833
0.238116,0.185815,0.024045,2.882131,2,0.024678,0.13484050,0.72002292,-0.13251099,0.03339205,-0.34939414
0.197599,0.148009,0.041130,5.139568,3,0.046222,0.14863434,1.01094460,-0.41605270,-0.22589526,0.11414938
0.318638,0.032392,0.044236,1.398489,2,0.047167,0.01527009,0.52030587,0.09415285,0.38345695,5.85792685
1.330988,0.247658,0.020264,7.689581,1,0.024537,0.02695655,0.11540769,0.00023320,-0.02024444,0.01520362
0.705375,0.204348,0.014329,4.301940,1,0.014075,0.04639880,0.22544810,-0.00416877,-0.04716305,0.04587004
0.628160,0.167876,0.001314,6.564089,1,0.001100,0.04400522,0.26160559,-0.00481616,-0.06322074,0.09053312
0.671008,0.255409,0.040003,3.690169,2,0.042768,0.08010808,0.31842488,-0.01779900,-0.07422981,0.06207841
1.696664,0.173396,0.035354,1.987675,3,0.039883,0.01575009,0.11519049,0.02505583,-0.00126000,-0.00116559
0.726654,0.255173,0.029765,3.597048,3,0.030556,0.08978220,0.35244969,-0.02270142,-0.07921826,0.06374028
1.470883,0.253028,0.011430,5.597299,3,0.012239,0.03581421,0.14590210,-0.00105162,-0.02426363,0.01643826
0.847979,0.067257,0.012219,7.620056,1,0.009879,0.01370130,0.18733934,0.01129918,-0.01563550,0.01783593
1.468303,0.081413,0.043633,3.560305,1,0.041381,0.00984274,0.10304096,0.01950479,-0.00536549,0.00285599
0.366060,0.069771,0.044211,7.501722,1,0.037594,0.02206839,0.27574405,0.04078668,-0.03623832,0.05193828
1.256450,0.085004,0.046316,4.926390,4,0.046368,0.01470748,0.15413612,0.01410240,-0.01101717,0.00824089
1.502917,0.213903,0.014831,5.179894,2,0.013146,0.03028922,0.13373703,0.00030750,-0.02002386,0.01323724
1.308000,0.036193,0.020559,3.942365,2,0.019490,0.00701366,0.15798706,0.10942364,-0.00324159,0.00124623
1.788291,0.071061,0.029965,6.086847,1,0.035930,0.00384852,0.07805337,0.10351122,-0.00214929,0.00120032
0.246424,0.261350,0.008987,5.955030,1,0.008271,0.12123254,0.45706657,-0.04502845,-0.29406244,0.68548393
0.172812,0.101791,0.018172,3.048840,4,0.017248,0.14959630,1.42784083,-0.56774092,0.31253156,-0.85024899
0.874003,0.082670,0.002723,2.210907,2,0.003013,0.02290300,0.28003141,-0.00263008,0.04348816,0.01077852
1.793552,0.252906,0.041284,4.511772,3,0.039066,0.02795252,0.09481604,0.00483870,-0.01550660,0.00860220
1.307213,0.181369,0.026631,3.446973,1,0.024416,0.02390384,0.12490225,0.00055744,-0.01526401,0.00961651
0.448448,0.133724,0.006708,2.542236,4,0.007591,0.09501135,0.71917701,-0.08197755,0.11492429,-0.17100866
0.932584,0.132925,0.007903,2.935110,3,0.008289,0.03728740,0.28541639,-0.00467180,-0.00723369,-0.00809251
0.329321,0.240374,0.045280,3.420094,3,0.039234,0.18117028,0.70000100,-0.20182806,-0.16555741,0.01700966
1.786564,0.118855,0.047212,4.329300,3,0.051197,0.00843220,0.09259499,0.03769515,-0.00463758,0.00255037
0.142413,0.097358,0.012583,3.638705,3,0.013159,0.13332240,1.36097980,-0.44673851,0.20889033,-0.92120194
1.610831,0.216229,0.001617,1.345141,2,0.001476,0.02844495,0.13118143,-0.00076930,0.01749283,-0.00410258
1.498453,0.153760,0.041279,2.421876,3,0.037206,0.02740014,0.13109802,0.04632075,-0.00882875,0.00155248
1.106985,0.127471,0.001168,3.243706,4,0.001201,0.03035409,0.23791863,-0.00272492,-0.01478515,0.00540572
1.124402,0.140092,0.043278,1.950329,2,0.044582,0.02625478,0.19038804,-0.00160946,0.01789399,-0.00953543
0.342654,0.062406,0.041666,5.356676,2,0.040090,0.03544418,0.53741801,-0.00898296,0.00243397,-0.09149008
1.905087,0.161173,0.004371,2.731828,4,0.003701,0.01833479,0.10548207,0.00201230,-0.00811000,0.00354184
0.785465,0.059006,0.031480,1.321230,1,0.037198,0.00941138,0.19497548,0.08902463,0.09332658,0.56024140
0.844494,0.177006,0.016263,1.047743,3,0.018783,0.04921196,0.29643756,-0.00294777,0.16513930,0.23839973
1.777190,0.169125,0.016729,1.185797,2,0.016806,0.01908616,0.11204114,-0.00037044,0.02250896,0.00628097
0.621032,0.056017,0.033345,4.659421,1,0.032333,0.01336069,0.22676450,0.00503890,-0.00245451,-0.00871685
0.977411,0.147118,0.045468,3.177245,3,0.043571,0.03782542,0.23152980,0.00648616,-0.01830334,0.00503794
1.348104,0.240904,0.025963,5.895068,3,0.026899,0.03553240,0.15026465,-0.00161738,-0.02624435,0.01938409
0.452161,0.117547,0.007430,4.064513,4,0.006387,0.08843355,0.73156726,-0.07688591,-0.03378619,-0.07218026
0.801559,0.198169,0.034784,3.760868,1,0.038250,0.03625258,0.18921311,-0.00202220,-0.02917064,0.02141737
0.422304,0.203905,0.044077,6.409445,1,0.043073,0.05466569,0.26424858,-0.01045109,-0.10169337,0.18635459
0.510300,0.078026,0.043861,4.060629,4,0.041392,0.04689086,0.52999961,0.03584486,0.00718814,-0.06888615
0.981420,0.132396,0.006213,5.205931,2,0.005180,0.03286262,0.24047159,-0.00199726,-0.03076520,0.02872555
1.104492,0.267037,0.023356,2.915839,3,0.020866,0.06105840,0.21467157,-0.00302851,-0.03746270,0.02128973
1.621248,0.228199,0.043690,3.213265,3,0.040442,0.03164796,0.11420831,0.01059710,-0.01787031,0.01005866
0.500071,0.187563,0.046780,4.094145,1,0.052093,0.04649735,0.25559226,-0.00638336,-0.04238231,0.02576212
1.033980,0.200811,0.047140,4.907081,3,0.052321,0.03584154,0.19821100,0.00324295,-0.03245433,0.02934518
1.385231,0.081143,0.007313,1.874675,4,0.008304,0.01194306,0.16825664,0.02392881,0.01579929,0.00435534
1.749595,0.226731,0.036092,3.443456,2,0.030957,0.02859933,0.10147314,0.01217537,-0.01566380,0.00857290
1.138969,0.070291,0.042735,4.490134,3,0.040079,0.01719571,0.17510344,0.16120782,-0.01257845,0.00905080
1.399033,0.273491,0.045427,6.989616,2,0.043575,0.03334256,0.11457304,-0.00027235,-0.02381768,0.01701375
0.717574,0.152053,0.001327,5.280582,3,0.001601,0.06154410,0.40554050,-0.01625429,-0.07090408,0.08057255
1.949570,0.164441,0.002637,2.576848,3,0.002392,0.01724694,0.10245932,-0.00006990,-0.00712360,0.00288118
1.871047,0.063238,0.049972,4.556213,1,0.049351,0.00542495,0.07326036,0.01754353,-0.00286008,0.00150777
1.520498,0.025908,0.031114,4.310404,1,0.029227,0.00377221,0.09783268,0.34217730,-0.00208462,0.00113415
1.798165,0.055419,0.011838,4.872987,3,0.010578,0.00808661,0.10618924,0.11311790,-0.00444827,0.00244677
0.383401,0.038894,0.035755,2.831529,3,0.037355,0.02490081,0.66989946,-0.00049788,0.20598829,0.76644242
1.893446,0.108531,0.005800,3.652378,2,0.005618,0.01142333,0.10342288,-0.00001283,-0.00577688,0.00291937
0.535874,0.118516,0.030249,1.157426,1,0.025775,0.03094158,0.24091157,0.00524626,0.17687659,0.47372302
1.307458,0.233335,0.008830,2.847472,3,0.009318,0.04124247,0.17943887,-0.00211609,-0.02244154,0.01154868
1.169072,0.086347,0.039677,1.318599,3,0.041513,0.01571450,0.19689059,0.00804259,0.06672487,0.14561339
0.106292,0.071735,0.033515,3.580961,1,0.027745,0.04065875,0.52635944,0.00311285,0.16452800,-0.15872045
0.628229,0.100662,0.019112,2.449784,3,0.021811,0.04130183,0.44125634,0.00024595,0.07261012,-0.01593178
1.599694,0.160616,0.010108,6.237389,1,0.008944,0.01730152,0.10421793,0.00011711,-0.01080411,0.00674680
1.033214,0.121274,0.048946,4.802655,2,0.047103,0.02435158,0.18115224,0.00783921,-0.02103495,0.01807676
0.638984,0.066969,0.030952,4.921203,4,0.033701,0.02519128,0.42401922,0.04890378,-0.01446837,0.00046443
1.310169,0.295248,0.044505,5.873523,1,0.041116,0.03264476,0.10478905,-0.00029622,-0.02480912,0.01885410
0.727686,0.292528,0.028890,2.400848,4,0.033408,0.10591873,0.38291326,-0.02770841,-0.03245662,-0.02258987
1.072206,0.050462,0.019547,4.154490,2,0.016797,0.01318974,0.20073849,0.16357763,-0.00714314,0.00306701
1.821310,0.014905,0.026010,4.339384,3,0.022603,0.00952561,0.00415245,1.77747560,-0.00505184,0.00267604
0.541638,0.285950,0.017691,1.122785,3,0.016971,0.13292356,0.45381498,-0.04595342,0.22828737,-0.02663497
1.085482,0.201832,0.015923,5.809905,3,0.012899,0.04799213,0.21512133,0.00254982,-0.04339719,0.03923747
1.359877,0.094779,0.048775,6.954010,2,0.046480,0.01348075,0.11470766,0.03313682,-0.00989153,0.00725788
0.273722,0.156167,0.023772,2.209587,2,0.028821,0.09749595,0.64731157,-0.07192098,0.18210268,-0.19410434
1.233646,0.041190,0.001362,6.951999,2,0.001473,0.00758991,0.18655963,0.00001601,-0.00608311,0.00487516
0.577390,0.075088,0.031714,1.408835,2,0.034238,0.02622578,0.37175199,0.00585859,0.20597826,0.85630798
1.834370,0.180176,0.016331,4.973375,4,0.014976,0.02144619,0.10317331,0.00677081,-0.01166107,0.00634052
0.514462,0.200367,0.028792,7.221051,1,0.030104,0.04961291,0.24848831,-0.00736448,-0.08686755,0.15166609
1.084856,0.294245,0.004114,2.800397,4,0.003482,0.07205834,0.24180491,-0.00671000,-0.04316198,0.02349089
1.949767,0.023559,0.019262,1.922942,2,0.018395,0.00340886,0.09174761,0.45668551,0.00546008,0.00200742
1.346838,0.127474,0.029868,4.987892,4,0.032237,0.01664316,0.15203430,0.01745139,-0.01200611,0.00865865
1.875433,0.273842,0.012961,1.890210,1,0.011720,0.02545447,0.09046448,-0.00018638,-0.00689209,0.00126408
1.092105,0.110140,0.044800,4.230680,2,0.050934,0.01602096,0.17696092,0.04017050,-0.01173525,0.00842843
