a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
0.622778,0.259834,0.003543,5.465431,2,0.003941,0.10310546,0.39672512,-0.02698386,-0.14345436,0.19839552
1.205456,0.122354,0.044989,5.858591,1,0.037982,0.01707080,0.11212032,0.02577529,-0.01393818,0.01137936
1.204171,0.203613,0.033224,2.607661,4,0.032080,0.04184118,0.18977034,0.00090093,-0.01714323,0.00447285
0.490283,0.173656,0.030559,4.691586,4,0.033227,0.09886750,0.58476025,-0.07541686,-0.11762303,0.12125879
1.638969,0.019080,0.031163,4.580472,4,0.035267,0.00003726,0.01315675,3.00045228,-0.00001738,0.00000801
1.562042,0.059377,0.032695,2.856680,4,0.031782,0.01035686,0.12549368,0.13339737,-0.00262388,0.00002362
1.569763,0.023337,0.039147,1.858624,4,0.039493,0.00384976,0.12862511,0.20318486,0.01576686,0.02970856
1.492567,0.240782,0.007871,4.141796,4,0.007943,0.03560513,0.14879823,-0.00131784,-0.02316648,0.01506892
1.540886,0.297350,0.006217,1.864312,2,0.005134,0.04232524,0.13823618,-0.00103729,-0.00909086,-0.00072770
0.176071,0.286670,0.003973,2.683343,3,0.008417,0.33236372,1.09244311,-0.73758739,-0.24021462,-0.31929976
0.937818,0.040788,0.007177,6.565307,2,0.007473,0.00996305,0.25017494,0.00114905,-0.00971466,0.00944358
1.009877,0.213322,0.032175,3.234390,2,0.037298,0.04206079,0.21428502,0.00054078,-0.02690833,0.01563064
1.486970,0.040545,0.032687,3.479483,3,0.032337,0.00669679,0.13371398,0.08833088,-0.00261616,0.00081181
0.883455,0.083735,0.021726,4.695166,2,0.022625,0.02060899,0.25210470,-0.00148030,-0.01657489,0.01258627
1.141545,0.200211,0.026532,2.869057,2,0.030635,0.03494410,0.19042072,0.00223468,-0.01704977,0.00665773
1.172842,0.228215,0.048231,5.201334,3,0.057246,0.03012922,0.16275139,0.01864150,-0.02504462,0.02081396
0.633789,0.102553,0.030036,3.306162,4,0.036187,0.03758831,0.44658145,0.09729248,0.01372126,-0.03666008
1.559264,0.098892,0.004444,2.060387,2,0.004617,0.01342539,0.13692532,-0.00034064,0.00371292,-0.00294633
1.708973,0.180832,0.041202,1.647345,2,0.041017,0.02132143,0.11252959,0.00037152,0.00403152,-0.00376308
1.690007,0.200261,0.005518,2.589586,2,0.005245,0.02464617,0.12200008,-0.00056234,-0.01093395,0.00466378
0.509746,0.250580,0.008653,3.601485,3,0.010357,0.14145388,0.56745869,-0.07965694,-0.13371421,0.09234174
0.234927,0.242359,0.016464,5.310391,2,0.018639,0.19153154,0.78041345,-0.23460087,-0.41792274,0.83448303
1.294232,0.151065,0.010734,7.307970,1,0.010272,0.01964621,0.12837847,-0.00050208,-0.01515870,0.01169623
0.603545,0.226910,0.048259,1.124440,1,0.040778,0.05390076,0.21968676,-0.00077996,0.13318029,0.08414068
1.091376,0.257841,0.036693,2.275238,2,0.044674,0.04533595,0.19830982,0.00370938,-0.01105558,-0.00344061
0.133626,0.134177,0.041324,4.038774,3,0.039349,0.16977549,1.21430850,-0.61089015,-0.05912862,-0.70392567
0.423622,0.206843,0.008080,3.054094,2,0.009280,0.11154447,0.54082847,-0.05532373,-0.03301638,-0.09246674
0.818319,0.291559,0.018116,4.348638,3,0.016423,0.09491757,0.31536818,-0.01696131,-0.09941799,0.10329407
1.909024,0.281078,0.049923,1.121329,2,0.041294,0.03659677,0.09318981,0.02110246,0.01554351,-0.00638978
1.979000,0.167180,0.043670,1.623924,4,0.037258,0.03087799,0.07486507,0.18497269,-0.00161406,-0.00309754
1.450412,0.060367,0.026066,3.432905,1,0.022378,0.00872792,0.11007512,0.08008430,-0.00406466,0.00171777
1.766179,0.160187,0.040106,1.015238,4,0.035046,0.02984335,0.10019731,0.13009319,0.04433013,0.00899748
1.780174,0.120743,0.006455,6.751580,2,0.007240,0.01264342,0.11025246,0.00129442,-0.00710079,0.00398794
1.019732,0.274107,0.036074,5.136510,3,0.040351,0.05456703,0.21253873,-0.00384038,-0.05141807,0.04842672
1.047502,0.246712,0.014623,3.668146,3,0.014172,0.05888175,0.23603036,-0.00572185,-0.04631602,0.03590176
0.960442,0.080868,0.030776,6.446445,1,0.036846,0.01014504,0.15001947,0.03909576,-0.01007156,0.00999109
0.259083,0.199950,0.024183,5.734936,1,0.024155,0.08248197,0.41008765,-0.02912842,-0.16789536,0.30894339
0.142246,0.172609,0.043081,5.766029,2,0.049149,0.14879669,0.86642790,-0.31809711,-0.35346958,0.64638382
1.837744,0.090738,0.036678,4.043587,4,0.038162,0.00753619,0.09601200,0.01457621,-0.00397482,0.00209574
0.796200,0.085279,0.019212,5.403610,1,0.022383,0.01541095,0.19599581,0.00865749,-0.01517911,0.01459069
0.249036,0.033766,0.008334,1.278219,2,0.009828,0.01897974,0.60126472,0.04083686,0.50857824,8.22251034
1.318575,0.047728,0.029554,1.047620,4,0.027106,0.01438002,0.15025137,0.81128782,0.11585774,0.39975092
1.223675,0.019901,0.041174,1.670778,4,0.043957,0.00137019,0.14863841,3.53196192,0.02264885,0.27614808
0.608460,0.033866,0.044738,4.563488,3,0.048549,0.01044917,0.38719434,0.39525986,0.01239305,-0.01130835
1.147170,0.032944,0.045742,3.894235,4,0.047596,0.00502279,0.18378438,0.13016225,-0.00079343,-0.00071041
1.673396,0.242580,0.031583,3.440587,3,0.034136,0.02530451,0.11486769,0.00217732,-0.01431444,0.00808909
1.820454,0.047547,0.040230,1.975798,4,0.046209,0.00050567,0.04199032,1.62938356,0.00093382,0.00125745
1.520027,0.252254,0.042486,2.998978,1,0.034922,0.02958382,0.10199293,0.00424157,-0.01678339,0.00943598
0.444782,0.170422,0.005735,3.744522,3,0.006152,0.11291399,0.66354179,-0.08378083,-0.07166032,-0.02748895
1.482433,0.039013,0.044534,1.091417,4,0.047575,0.00280413,0.12708895,0.79401076,0.03725558,0.34912020
0.447465,0.256778,0.021287,5.972368,2,0.025284,0.12101604,0.47759029,-0.05871023,-0.21802051,0.38829476
1.007280,0.222927,0.002549,1.889850,4,0.002321,0.06041726,0.26845104,-0.00685482,0.01710211,-0.02680744
0.272190,0.291255,0.006435,3.148399,4,0.004862,0.32844454,1.05694222,-0.68778956,-0.35976210,0.14218053
1.908070,0.218384,0.047533,4.963228,3,0.048716,0.01820151,0.08318504,-0.00032085,-0.00952309,0.00498253
1.729422,0.160870,0.030332,1.965606,2,0.032274,0.01677488,0.11220123,0.00203727,-0.00118899,-0.00137037
0.780311,0.109705,0.024149,1.603286,4,0.022423,0.04233750,0.35188797,0.00818874,0.12863347,0.11775454
1.380981,0.192218,0.002733,7.345191,1,0.002565,0.02463696,0.12742788,-0.00063889,-0.01782920,0.01290261
1.964575,0.299154,0.012157,5.671781,3,0.013568,0.02674555,0.09505177,0.00031906,-0.01361053,0.00692626
1.028610,0.266932,0.024684,4.736905,4,0.022706,0.06578605,0.23133264,-0.00481381,-0.06038313,0.05536151
1.880223,0.239627,0.040016,4.227170,2,0.048162,0.01616997,0.08781742,0.01709738,-0.00853454,0.00450449
0.398353,0.269817,0.015748,4.339957,3,0.015332,0.18974291,0.68613541,-0.17194031,-0.27768174,0.36849287
1.868128,0.109236,0.004927,1.335966,1,0.005891,0.00963567,0.09241780,0.00104986,0.01306730,0.00580209
0.525239,0.018512,0.049200,1.729688,2,0.058874,0.00231057,0.29416865,9.59082603,0.09522196,2.97169876
0.510930,0.187003,0.040396,1.341286,1,0.045217,0.04538874,0.25168625,-0.00404485,0.12897564,0.10664168
1.953680,0.295857,0.026972,4.127688,2,0.022607,0.03075293,0.08890096,0.00403291,-0.01566189,0.00797622
1.485151,0.206710,0.048228,2.231025,4,0.051945,0.02448906,0.13652201,0.00780397,-0.00636365,0.00031983
1.015439,0.079121,0.048727,2.430241,1,0.040335,0.01663033,0.14892320,0.12921323,0.01284977,-0.01048501
1.142235,0.134158,0.003517,5.398122,3,0.003070,0.03003103,0.21864298,-0.00175296,-0.02537980,0.02143938
0.955486,0.037812,0.039383,4.182121,4,0.045497,0.00332983,0.19259521,2.50031185,0.00034138,-0.00099262
